Date,Debit,Original Description
30/06/2023,1.49,PAYPAL *APPLE.COM/BILL Sydney AU
26/06/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
25/06/2023,1.70,BUNNINGS 339000 CASTLE HILL AU Card xx7960
20/06/2023,3.02,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.02 Value Date: 18/06/2023
20/06/2023,28.36,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 17/06/2023
16/06/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 14/06/2023
14/06/2023,7.27,HILLS IRRIGATION CASTLE HILL NSWAU
13/06/2023,34.10,PAYPAL *NSW Sydney AU
13/06/2023,9.01,PP*GOOGLE GOOGLE PLAY 402-935-7733 CA US Card xx7960 AUD 9.01 Value Date: 08/06/2023
13/06/2023,69.30,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/06/2023
12/06/2023,3.14,BUNNINGS 339000 CASTLE HILL AU Card xx7960
12/06/2023,45.13,BUNNINGS 339000 CASTLE HILL AU Card xx7960
12/06/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
11/06/2023,75.67,BUNNINGS 339000 CASTLE HILL AU Card xx7960
08/06/2023,30.85,PAYPAL *EBAY AU Sydney AU
05/06/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
01/06/2023,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
01/06/2023,385.00,Transfer To Trover Pty Ltd NetBank GyuriKimTaxReturn
29/05/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
27/05/2023,16.28,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 26/05/2023
24/05/2023,19.99,PAYPAL *EBAY AU Sydney AU
22/05/2023,13.24,BUNNINGS 339000 CASTLE HILL AU Card xx7960
20/05/2023,3.29,PAYPAL *GOOGLE CLOVER GAMSydney AU
20/05/2023,1.39,PAYPAL *GOOGLE CLOVER GAMSydney AU
20/05/2023,3.12,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.12 Value Date: 18/05/2023
16/05/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/05/2023
15/05/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
12/05/2023,69.30,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/05/2023
11/05/2023,12.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
11/05/2023,6.39,PP*GOOGLE GOOGLE PLAY 402-935-7733 CA US Card xx7960 AUD 6.39 Value Date: 08/05/2023
10/05/2023,33.47,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 09/05/2023
09/05/2023,9.50,BUNNINGS 775000 MARSDEN PARK AU Card xx7960
09/05/2023,44.99,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
05/05/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
02/05/2023,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 28/04/2023
01/05/2023,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
01/05/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
29/04/2023,12.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
27/04/2023,0.67,International Transaction Fee Value Date: 23/04/2023
27/04/2023,22.47,WWW.COURSEHERO.COM 8886349397 CA US Card xx7960 USD 15.00 Value Date: 23/04/2023
26/04/2023,19.98,PAYPAL *EBAY AU Sydney AU
21/04/2023,3.10,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.10 Value Date: 18/04/2023
17/04/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
15/04/2023,15.80,Jaycar - Castle Hill Castle Hill AU
15/04/2023,23.53,PAYPAL *COURSE HERO 402-935-7733 CA US Card xx7960 AUD 23.53 Value Date: 12/04/2023
15/04/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/04/2023
14/04/2023,152.67,SERVICE NSW SYDNEY AU Card xx7960 Value Date: 10/04/2023
12/04/2023,69.30,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/04/2023
12/04/2023,37.54,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 08/04/2023
10/04/2023,219.93,AAMI
05/04/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
03/04/2023,6.95,BUNNINGS 339000 CASTLE HILL AU Card xx7960
03/04/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
23/03/2023,18.85,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 21/03/2023
21/03/2023,15.58,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 17/03/2023
21/03/2023,3.12,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.12 Value Date: 18/03/2023
20/03/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
15/03/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/03/2023
14/03/2023,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/03/2023
14/03/2023,23.73,PAYPAL *COURSE HERO 402-935-7733 CA US Card xx7960 AUD 23.73 Value Date: 12/03/2023
08/03/2023,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 07/03/2023
08/03/2023,5.92,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 05/03/2023
08/03/2023,7.45,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 05/03/2023
06/03/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
05/03/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
02/03/2023,31.82,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 01/03/2023
28/02/2023,8.79,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 24/02/2023
26/02/2023,30.60,BUNNINGS 339000 CASTLE HILL AU Card xx7960
25/02/2023,6.45,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 22/02/2023
25/02/2023,12.17,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 22/02/2023
25/02/2023,2.69,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 22/02/2023
25/02/2023,30.00,SYDNEY OLYMPIC PARK P1 SYDNEY OLYMPI AU Card xx7960 Value Date: 22/02/2023
23/02/2023,700.00,Transfer To Norwes Property NetBank biwkrent 100284 GyuriKim
21/02/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 17/02/2023
21/02/2023,3.04,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.04 Value Date: 18/02/2023
14/02/2023,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/02/2023
10/02/2023,700.00,Transfer To Norwes Property CommBank App biwkrent 100284 GyuriKim
08/02/2023,6.99,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 05/02/2023
08/02/2023,7.06,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 05/02/2023
07/02/2023,23.45,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 04/02/2023
05/02/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
04/02/2023,13.43,PAYPAL *EBAY AU SAN JOSE CA US Card xx7960 AUD 13.43 Value Date: 01/02/2023
04/02/2023,179.66,PAYPAL *WRITESONICI WRITE 402-935-7733 DE US Card xx7960 AUD 179.66 Value Date: 01/02/2023
04/02/2023,180.49,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 01/02/2023
01/02/2023,0.57,International Transaction Fee Value Date: 26/01/2023
01/02/2023,18.96,PAYGATE_INTERNET SHOP SEOUL KR Card xx7960 KRW 16380.00 Value Date: 26/01/2023
28/01/2023,21.90,BUNNINGS 339000 CASTLE HILL AU Card xx7960
26/01/2023,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
23/01/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
21/01/2023,2.99,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 2.99 Value Date: 18/01/2023
19/01/2023,1.15,International Transaction Fee Value Date: 16/01/2023
19/01/2023,38.42,TN GA INST TECH PAYPATH LENEXA KS US Card xx7960 USD 26.56 Value Date: 17/01/2023
19/01/2023,40.45,International Transaction Fee Value Date: 16/01/2023
19/01/2023,1348.18,GA INST TECH PAYPATH LENEXA KS US Card xx7960 USD 932.00 Value Date: 17/01/2023
19/01/2023,33.58,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 18/01/2023
18/01/2023,34.99,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
18/01/2023,59.00,IKEA MARSDEN PARK MARSDEN PARK AU
17/01/2023,11.95,Jaycar - Castle Hill Castle Hill AU
17/01/2023,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 14/01/2023
14/01/2023,4.49,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 11/01/2023
14/01/2023,3.95,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 11/01/2023
12/01/2023,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/01/2023
11/01/2023,19.56,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 10/01/2023
10/01/2023,60.00,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
10/01/2023,15.75,KMART 1246 CASTLE HILL AU Card xx7960 Value Date: 07/01/2023
09/01/2023,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
08/01/2023,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
05/01/2023,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
04/01/2023,47.39,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 31/12/2022
31/12/2022,129.99,COSTCO WHOLESALE AUSTR MARSDEN PARK AU Card xx7960
29/12/2022,3.70,Jaycar Electronics Croydon AU
28/12/2022,16.30,BUNNINGS 339000 CASTLE HILL AU Card xx7960
26/12/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
23/12/2022,27.68,BUNNINGS 339000 CASTLE HILL AU Card xx7960
23/12/2022,13.95,Jaycar - Castle Hill Castle Hill AU
21/12/2022,3.11,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.11 Value Date: 18/12/2022
18/12/2022,16.66,BUNNINGS 339000 CASTLE HILL AU Card xx7960
16/12/2022,6.49,PAYPAL *GOOGLE CLOVER GAMSydney AU Value Date: 17/12/2022
16/12/2022,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
16/12/2022,12.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
16/12/2022,8.97,7-ELEVEN 2317 KELLYVILLE AU Card xx7960 Value Date: 14/12/2022
16/12/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 15/12/2022
15/12/2022,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 13/12/2022
15/12/2022,42.72,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 14/12/2022
14/12/2022,3.29,PAYPAL *GOOGLE CLOVER GAMSydney AU
13/12/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/12/2022
13/12/2022,8.99,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 09/12/2022
12/12/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
11/12/2022,7.99,PAYPAL *GOOGLE CLOVER GAMSydney AU
09/12/2022,16.10,BUNNINGS 339000 CASTLE HILL AU Card xx7960
06/12/2022,659.00,PAYPAL *EBAY US 4029357733 AU Card xx7960 Value Date: 02/12/2022
05/12/2022,8.99,PAYPAL *GOOGLE YOUTUBE SUSydney AU
05/12/2022,30.56,BUNNINGS 339000 CASTLE HILL AU Card xx7960
03/12/2022,15.58,PAYPAL *EBAY AU 4029357733 AU Card xx7960 Value Date: 30/11/2022
28/11/2022,20.00,Direct Debit 408856 Linkt Sydney 833490540999
28/11/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
24/11/2022,36.73,COSTCO FUEL MARSDEN PA MARSDEN PARK AU Card xx7960 Value Date: 23/11/2022
22/11/2022,3.13,PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA US Card xx7960 AUD 3.13 Value Date: 18/11/2022
22/11/2022,10.49,NRMA LTD SYDNEY OLYMPI AU Card xx7960 Value Date: 19/11/2022
22/11/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 19/11/2022
19/11/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 17/11/2022
15/11/2022,23.13,BUNNINGS 339000 CASTLE HILL AU Card xx7960
15/11/2022,5.25,Jaycar - Castle Hill Castle Hill AU
15/11/2022,20.00,TRANSPORTFORNSW OPAL CHIPPENDALE AU Card xx7960 Value Date: 11/11/2022
14/11/2022,700.00,Transfer to CBA A/c NetBank BiWkRent 100284
12/11/2022,53.90,MORE TELECOM SOUTH MELBOUR AU Card xx7960 Value Date: 10/11/2022
09/11/2022,30.10,SPEEDWAY SOUTH GRANV SOUTH GRANVIL AU Card xx7960 Value Date: 05/11/2022
08/11/2022,60.82,PAYPAL *DIGIKEYCORP 402-935-7733 MN US Card xx7960 AUD 60.82 Value Date: 03/11/2022
